Charge,ChargeTitle,ChargeSubtitle
21-204(f),Rules of Road,Failure to Obey Traffic Control Devices
21-204.1,Rules of Road,Failure to Obey Traffic Control Devices
21-205(a),Rules of Road,Obstructing Signage
21-205(c),Rules of Road,Obstructing Signage
21-207(b),Rules of Road,Failure to Obey Traffic Control Devices
21-209,Rules of Road,Failure to Obey Traffic Control Devices
21-209(2),Rules of Road,Failure to Obey Traffic Control Devices
21-209(3),Rules of Road,Failure to Obey Traffic Control Devices
21-2091(i),Rules of Road,Failure to Obey Traffic Control Devices
21-2091(ii),Rules of Road,Failure to Obey Traffic Control Devices
21-2091(iiI),Rules of Road,Failure to Obey Traffic Control Devices
21-301(a),Rules of Road,Wrong Side of Road
21-301(b),Rules of Road,Wrong Side of Road
21-301(c),Rules of Road,Wrong Side of Road
21-302(b),Rules of Road,Wrong Side of Road
21-303(b),Rules of Road,Improper Overtake
21-303(c),Rules of Road,Improper Overtake
21-303(d),Rules of Road,Improper Overtake
21-303(e),Rules of Road,Improper Overtake
21-304(b),Rules of Road,Improper Overtake
21-304(c),Rules of Road,Improper Overtake
21-305,Rules of Road,Improper Overtake
21-307(b),Rules of Road,Improper Overtake
21-307(c),Rules of Road,Improper Overtake
21-307(d),Rules of Road,Improper Overtake
21-308(a),Rules of Road,Wrong Way on One Way
21-308(b),Rules of Road,Wrong Way on One Way
21-309(b),Rules of Road,Improper Lane Change
21-309(c),Rules of Road,Wrong Side of Road
21-309(d),Rules of Road,Wrong Side of Road
21-309(e),Rules of Road,Improper Lane Change
21-309(f),Rules of Road,Improper Lane Change
21-309(g),Rules of Road,Improper Road Turn
21-309(h),Rules of Road,Improper Road Turn
21-309(i),Rules of Road,Improper Road Turn
21-310(a),Rules of Road,Tailgating
21-310(e),Rules of Road,Tailgating
21-311(1),Rules of Road,Wrong Side of Road
21-311(2),Rules of Road,Wrong Side of Road
21-311(3),Rules of Road,Wrong Side of Road
21-312(a),Rules of Road,Unauthorized Access
21-313(b),Rules of Road,Hitchhiking
21-314(b),Rules of Road,Failure to Obey Traffic Control Devices
21-401,Rules of Road,Failure to Obey Traffic Control Devices
21-401.1,Rules of Road,Failure to Obey Traffic Control Devices
21-402(a),Rules of Road,Failure to Obey Traffic Control Devices
21-402(b),Rules of Road,Failure to Obey Traffic Control Devices
21-403(b),Rules of Road,Failure to Obey Traffic Control Devices
21-403(c),Rules of Road,Failure to Obey Traffic Control Devices
21-403(d),Rules of Road,Failure to Obey Traffic Control Devices
21-404(a),Rules of Road,Failure to Obey Traffic Control Devices
21-404(b),Rules of Road,Failure to Obey Traffic Control Devices
21-404(d),Rules of Road,Failure to Obey Traffic Control Devices
21-404(e),Rules of Road,Failure to Obey Traffic Control Devices
21-404.1(a),Rules of Road,Failure to Obey Traffic Control Devices
21-404.1(b),Rules of Road,Failure to Obey Traffic Control Devices
21-405(a),Rules of Road,Failure to Obey Traffic Control Devices
21-405(b),Rules of Road,Failure to Obey Traffic Control Devices
21-405(c),Rules of Road,Failure to Obey Traffic Control Devices
21-405(d),Rules of Road,Failure to Obey Traffic Control Devices
21-405(e1),Rules of Road,Failure to Obey Traffic Control Devices
21-405(e2),Rules of Road,Failure to Obey Traffic Control Devices
21-502(a2),Rules of Road,Failure to Yield to Pedestrian
21-502(b),Rules of Road,Jaywalking
21-502(c),Rules of Road,Failure to Yield to Pedestrian
21-503(a),Rules of Road,Jaywalking
21-503(b),Rules of Road,Jaywalking
21-503(c),Rules of Road,Jaywalking
21-503(d),Rules of Road,Jaywalking
21-504(a),Rules of Road,Failure to Yield to Pedestrian
21-504(b),Rules of Road,Failure to Yield to Pedestrian
21-504(c),Rules of Road,Failure to Yield to Pedestrian
21-505,Rules of Road,Jaywalking
21-506(a),Rules of Road,Jaywalking
21-506(b),Rules of Road,Jaywalking
21-507(a),Rules of Road,Hitchhiking
21-507G3I(i1),Rules of Road,Panhandling
21-508,Rules of Road,Failure to Obey Traffic Control Devices
21-509(a),Rules of Road,Hitchhiking
21-509(b),Rules of Road,Hitchhiking
21-509(c),Rules of Road,Hitchhiking
21-509(d),Rules of Road,Hitchhiking
21-510(c),Rules of Road,Jaywalking
21-511(a1),Rules of Road,Failure to Yield to Pedestrian
21-511(a3),Rules of Road,Failure to Yield to Pedestrian
21-601(a),Rules of Road,Improper Road Turn
21-601(b),Rules of Road,Improper Road Turn
21-601(c),Rules of Road,Improper Road Turn
21-601(d),Rules of Road,Improper Road Turn
21-602(a),Rules of Road,Improper Road Turn
21-602(b),Rules of Road,Improper Road Turn
21-603(a),Rules of Road,Improper Vehicle Start
21-603(b),Rules of Road,Improper Vehicle Start
21-604(a),Rules of Road,Failure to Signal Turn
21-604(b),Rules of Road,Failure to Signal Turn
21-604(c),Rules of Road,Failure to Signal Turn
21-604(d),Rules of Road,Failure to Signal Turn
21-604(e),Rules of Road,Failure to Signal Turn
21-605(a),Rules of Road,Failure to Signal Turn
21-605(b),Rules of Road,Failure to Signal Turn
21-605(c),Rules of Road,Failure to Signal Turn
21-606(b),Rules of Road,Failure to Signal Turn
21-606(c),Rules of Road,Failure to Signal Turn
21-701(a),Rules of Road,Failure to Obey Traffic Control Devices
21-703(b),Rules of Road,Failure to Obey Traffic Control Devices
21-703(d),Rules of Road,Failure to Obey Traffic Control Devices
21-703.1,Rules of Road,Failure to Obey Traffic Control Devices
21-705(a),Rules of Road,Failure to Obey Traffic Control Devices
21-705(b),Rules of Road,Failure to Obey Traffic Control Devices
21-705(c),Rules of Road,Failure to Obey Traffic Control Devices
21-705(d),Rules of Road,Failure to Obey Traffic Control Devices
21-706(a),Rules of Road,Overtaking School Vehicle
21-706(b),Rules of Road,Overtaking School Vehicle
21-707(a),Rules of Road,Failure to Obey Traffic Control Devices
21-707(b),Rules of Road,Failure to Obey Traffic Control Devices
21-707(c),Rules of Road,Failure to Obey Traffic Control Devices
21-707(d),Rules of Road,Failure to Obey Traffic Control Devices
21-707(e),Rules of Road,Failure to Obey Traffic Control Devices
21-707(f),Rules of Road,Failure to Obey Traffic Control Devices
21-801(a),Rules of Road,Speeding
21-801(b),Rules of Road,Speeding
21-801(c),Rules of Road,Speeding
21-801(d),Rules of Road,Speeding
21-801(e),Rules of Road,Speeding
21-801(f),Rules of Road,Speeding
21-801(g),Rules of Road,Speeding
21-801(h),Rules of Road,Speeding
21-801.1,Rules of Road,Speeding
21-802.1,Rules of Road,Speeding
21-803.1(e),Rules of Road,Speeding
21-804(a),Rules of Road,Speeding
21-804(b),Rules of Road,Speeding
21-804(c),Rules of Road,Speeding
21-805(a),Rules of Road,Speeding
21-805(d),Rules of Road,Speeding
21-805.1(a),Rules of Road,Speeding
21-806(b),Rules of Road,Speeding
21-901.1(a),Rules of Road,Reckless Driving
21-901.1(b),Rules of Road,Reckless Driving
21-901.2,Rules of Road,Reckless Driving
21-902(a1),Rules of Road,DUI
21-902(a1i),Rules of Road,DUI
21-902(a1I),Rules of Road,DUI
21-902(a1ii),Rules of Road,DUI
21-902(a2),Rules of Road,DUI
21-902(a2I),Rules of Road,DUI
21-902(a3),Rules of Road,DUI
21-902(b1),Rules of Road,DUI
21-902(b1i),Rules of Road,DUI
21-902(b1I),Rules of Road,DUI
21-902(b2),Rules of Road,DUI
21-902(b2I),Rules of Road,DUI
21-902(c1),Rules of Road,DUI
21-902(c1i),Rules of Road,DUI
21-902(c1I),Rules of Road,DUI
21-902(c2I),Rules of Road,DUI
21-902(c3),Rules of Road,DUI
21-902(d1),Rules of Road,DUI
21-902(d1i),Rules of Road,DUI
21-902(d1I),Rules of Road,DUI
21-902(d2),Rules of Road,DUI
21-902(d2I),Rules of Road,DUI
21-902.1,Rules of Road,DUI
21-902A(1iI),Rules of Road,DUI
21-903(c),Rules of Road,DUI
21-904(b1),Rules of Road,Eluding Police
21-904(b2),Rules of Road,Eluding Police
21-904(b3),Rules of Road,Eluding Police
21-904(c1),Rules of Road,Eluding Police
21-904(c2),Rules of Road,Eluding Police
21-904(c3),Rules of Road,Eluding Police
21-904(d1),Rules of Road,Eluding Police
21-904(e2),Rules of Road,Eluding Police
22-101(a),Vehicle Equipment,Vehicle Equipment
22-104,Vehicle Equipment,Vehicle Equipment
22-105(a),Vehicle Equipment,Vehicle Equipment
22-105(b),Vehicle Equipment,Vehicle Equipment
22-201.1,Vehicle Equipment,Vehicle Equipment
22-201.2,Vehicle Equipment,Vehicle Equipment
22-203(b),Vehicle Equipment,Vehicle Equipment
22-203(c),Vehicle Equipment,Vehicle Equipment
22-203(d),Vehicle Equipment,Vehicle Equipment
22-204(a),Vehicle Equipment,Vehicle Equipment
22-204(b),Vehicle Equipment,Vehicle Equipment
22-204(d),Vehicle Equipment,Vehicle Equipment
22-204(e),Vehicle Equipment,Vehicle Equipment
22-204(f),Vehicle Equipment,Vehicle Equipment
22-205(a),Vehicle Equipment,Vehicle Equipment
22-205(b),Vehicle Equipment,Vehicle Equipment
22-206(a),Vehicle Equipment,Vehicle Equipment
22-206(b),Vehicle Equipment,Vehicle Equipment
22-206(c),Vehicle Equipment,Vehicle Equipment
22-208,Vehicle Equipment,Vehicle Equipment
22-209(a),Vehicle Equipment,Vehicle Equipment
22-209(b),Vehicle Equipment,Vehicle Equipment
22-210(a),Vehicle Equipment,Vehicle Equipment
22-210(c),Vehicle Equipment,Vehicle Equipment
22-211(a),Vehicle Equipment,Vehicle Equipment
22-211(b),Vehicle Equipment,Vehicle Equipment
22-211(c),Vehicle Equipment,Vehicle Equipment
22-211(d),Vehicle Equipment,Vehicle Equipment
22-213(c),Vehicle Equipment,Vehicle Equipment
22-213(d),Vehicle Equipment,Vehicle Equipment
22-213(e),Vehicle Equipment,Vehicle Equipment
22-214(a),Vehicle Equipment,Vehicle Equipment
22-214(b),Vehicle Equipment,Vehicle Equipment
22-214(c),Vehicle Equipment,Vehicle Equipment
22-215(a),Vehicle Equipment,Vehicle Equipment
22-215.1(1),Vehicle Equipment,Vehicle Equipment
22-215.1(2),Vehicle Equipment,Vehicle Equipment
22-216,Vehicle Equipment,Vehicle Equipment
22-217(a),Vehicle Equipment,Vehicle Equipment
22-217(b),Vehicle Equipment,Vehicle Equipment
22-217(c),Vehicle Equipment,Vehicle Equipment
22-218(c),Vehicle Equipment,Vehicle Equipment
22-218(e),Vehicle Equipment,Vehicle Equipment
22-218(f),Vehicle Equipment,Vehicle Equipment
22-219(a),Vehicle Equipment,Vehicle Equipment
22-219(b),Vehicle Equipment,Vehicle Equipment
22-219(c),Vehicle Equipment,Vehicle Equipment
22-219(d),Vehicle Equipment,Vehicle Equipment
22-219(e),Vehicle Equipment,Vehicle Equipment
22-219(f),Vehicle Equipment,Vehicle Equipment
22-219(g),Vehicle Equipment,Vehicle Equipment
22-221(b),Vehicle Equipment,Vehicle Equipment
22-221(c),Vehicle Equipment,Vehicle Equipment
22-221(e),Vehicle Equipment,Vehicle Equipment
22-221(f),Vehicle Equipment,Vehicle Equipment
22-221(g),Vehicle Equipment,Vehicle Equipment
22-221(h),Vehicle Equipment,Vehicle Equipment
22-221(j),Vehicle Equipment,Vehicle Equipment
22-221(l22),Vehicle Equipment,Vehicle Equipment
22-221(l23),Vehicle Equipment,Vehicle Equipment
22-221L2I(i2),Vehicle Equipment,Vehicle Equipment
22-221L2I(ii1),Vehicle Equipment,Vehicle Equipment
22-222(a),Vehicle Equipment,Vehicle Equipment
22-222(b),Vehicle Equipment,Vehicle Equipment
22-222(c),Vehicle Equipment,Vehicle Equipment
22-223(a),Vehicle Equipment,Vehicle Equipment
22-223(b),Vehicle Equipment,Vehicle Equipment
22-223(c),Vehicle Equipment,Vehicle Equipment
22-224.1,Vehicle Equipment,Vehicle Equipment
22-225,Vehicle Equipment,Vehicle Equipment
22-226(a),Vehicle Equipment,Vehicle Equipment
22-226(b),Vehicle Equipment,Vehicle Equipment
22-227(a),Vehicle Equipment,Vehicle Equipment
22-227(b),Vehicle Equipment,Vehicle Equipment
22-227(c),Vehicle Equipment,Vehicle Equipment
22-227(d),Vehicle Equipment,Vehicle Equipment
22-227(e),Vehicle Equipment,Vehicle Equipment
22-227(f),Vehicle Equipment,Vehicle Equipment
22-228(a),Vehicle Equipment,Vehicle Equipment
22-228(d),Vehicle Equipment,Vehicle Equipment
22-230(b),Vehicle Equipment,Vehicle Equipment
22-230(c),Vehicle Equipment,Vehicle Equipment
22-301(b),Vehicle Equipment,Vehicle Equipment
22-301(c),Vehicle Equipment,Vehicle Equipment
22-301(d),Vehicle Equipment,Vehicle Equipment
22-301(e),Vehicle Equipment,Vehicle Equipment
22-301(i),Vehicle Equipment,Vehicle Equipment
22-301(k),Vehicle Equipment,Vehicle Equipment
22-303,Vehicle Equipment,Vehicle Equipment
22-401(a),Vehicle Equipment,Vehicle Equipment
22-401(b),Vehicle Equipment,Vehicle Equipment
22-401(c),Vehicle Equipment,Vehicle Equipment
22-401(e),Vehicle Equipment,Vehicle Equipment
22-402(a),Vehicle Equipment,Vehicle Equipment
22-402(b),Vehicle Equipment,Vehicle Equipment
22-402(c),Vehicle Equipment,Vehicle Equipment
22-402(c1),Vehicle Equipment,Vehicle Equipment
22-402.1(a),Vehicle Equipment,Vehicle Equipment
22-403(a),Vehicle Equipment,Vehicle Equipment
22-403(b),Vehicle Equipment,Vehicle Equipment
22-403(c),Vehicle Equipment,Vehicle Equipment
22-404(a),Vehicle Equipment,Vehicle Equipment
22-404(b),Vehicle Equipment,Vehicle Equipment
22-404(c),Vehicle Equipment,Vehicle Equipment
22-404.1(a),Vehicle Equipment,Vehicle Equipment
22-404.1(b),Vehicle Equipment,Vehicle Equipment
22-404.3(a),Vehicle Equipment,Vehicle Equipment
22-405(a),Vehicle Equipment,Vehicle Equipment
22-405(b),Vehicle Equipment,Vehicle Equipment
22-405(d),Vehicle Equipment,Vehicle Equipment
22-405.2(a),Vehicle Equipment,Vehicle Equipment
22-405.2(b),Vehicle Equipment,Vehicle Equipment
22-406(b),Vehicle Equipment,Vehicle Equipment
22-406(c),Vehicle Equipment,Vehicle Equipment
22-406(d),Vehicle Equipment,Vehicle Equipment
22-406(e),Vehicle Equipment,Vehicle Equipment
22-406(f),Vehicle Equipment,Vehicle Equipment
22-406(i1),Vehicle Equipment,Vehicle Equipment
22-406(i3),Vehicle Equipment,Vehicle Equipment
22-407(a),Vehicle Equipment,Vehicle Equipment
22-407(d),Vehicle Equipment,Vehicle Equipment
22-408(a),Vehicle Equipment,Vehicle Equipment
22-408(b),Vehicle Equipment,Vehicle Equipment
22-408(c),Vehicle Equipment,Vehicle Equipment
22-408(d),Vehicle Equipment,Vehicle Equipment
22-410(d),Vehicle Equipment,Vehicle Equipment
22-412(a),Vehicle Equipment,Vehicle Equipment
22-412(b),Vehicle Equipment,Vehicle Equipment
22-412(f),Vehicle Equipment,Vehicle Equipment
22-412.2(d),Vehicle Equipment,Vehicle Equipment
22-412.2(e),Vehicle Equipment,Vehicle Equipment
22-412.2(g),Vehicle Equipment,Vehicle Equipment
22-412.3(b),Vehicle Equipment,Vehicle Equipment
22-412.3(c),Vehicle Equipment,Vehicle Equipment
22-412.3(c2),Vehicle Equipment,Vehicle Equipment
22-412.3(c3),Vehicle Equipment,Vehicle Equipment
22-412.4,Vehicle Equipment,Vehicle Equipment
22-413(a),Vehicle Equipment,Vehicle Equipment
22-413(b),Vehicle Equipment,Vehicle Equipment
22-413(d),Vehicle Equipment,Vehicle Equipment
22-414,Vehicle Equipment,Vehicle Equipment
22-414.1,Vehicle Equipment,Vehicle Equipment
22-418(b),Vehicle Equipment,Vehicle Equipment
22-602(a),Vehicle Equipment,Vehicle Equipment
22-602(b),Vehicle Equipment,Vehicle Equipment
22-609(a),Vehicle Equipment,Vehicle Equipment
22-609(b),Vehicle Equipment,Vehicle Equipment
22-611(b),Vehicle Equipment,Vehicle Equipment
23-104,Vehicle Equipment,Missing or Altered Equipment
23-109(b),Vehicle Equipment,Missing or Altered Equipment
23-109(i),Vehicle Equipment,Missing or Altered Equipment
23-109(j),Vehicle Equipment,Missing or Altered Equipment
23-109(k),Vehicle Equipment,Missing or Altered Equipment
23-302,Vehicle Equipment,Vehicle Maintenance
23-302(c),Vehicle Equipment,Vehicle Maintenance
24-101(b),Size and Load Restrictions,Size and Load Restrictions
24-103(a),Size and Load Restrictions,Size and Load Restrictions
24-103(b),Size and Load Restrictions,Size and Load Restrictions
24-104,Size and Load Restrictions,Size and Load Restrictions
24-105(b),Size and Load Restrictions,Size and Load Restrictions
24-105(c1),Size and Load Restrictions,Size and Load Restrictions
24-105(c21),Size and Load Restrictions,Size and Load Restrictions
24-106(b),Size and Load Restrictions,Size and Load Restrictions
24-106(c),Size and Load Restrictions,Size and Load Restrictions
24-106(e),Size and Load Restrictions,Size and Load Restrictions
24-106.1(b),Size and Load Restrictions,Size and Load Restrictions
24-106.1(d1),Size and Load Restrictions,Size and Load Restrictions
24-106.1(d2),Size and Load Restrictions,Size and Load Restrictions
24-106.1(e2),Size and Load Restrictions,Size and Load Restrictions
24-106.1(f),Size and Load Restrictions,Size and Load Restrictions
24-106.2(a),Size and Load Restrictions,Size and Load Restrictions
24-106.2(d),Size and Load Restrictions,Size and Load Restrictions
24-107(b1),Size and Load Restrictions,Size and Load Restrictions
24-107(b2),Size and Load Restrictions,Size and Load Restrictions
24-107(b3),Size and Load Restrictions,Size and Load Restrictions
24-107(b4),Size and Load Restrictions,Size and Load Restrictions
24-107(d),Size and Load Restrictions,Size and Load Restrictions
24-107(h),Size and Load Restrictions,Size and Load Restrictions
24-108(a1),Size and Load Restrictions,Size and Load Restrictions
24-111(d),Size and Load Restrictions,Size and Load Restrictions
24-111.1(b),Size and Load Restrictions,Size and Load Restrictions
24-112(e2),Size and Load Restrictions,Size and Load Restrictions
24-202,Size and Load Restrictions,Size and Load Restrictions
24-203,Size and Load Restrictions,Size and Load Restrictions
24-401(c),Size and Load Restrictions,Size and Load Restrictions
25-108(b),Powers of Authorities,Powers of Authorities
25-108(c),Powers of Authorities,Powers of Authorities
25-111(d),Powers of Authorities,Powers of Authorities
25-111(g),Powers of Authorities,Powers of Authorities
25-112(b3),Powers of Authorities,Powers of Authorities
25-202,Powers of Authorities,Powers of Authorities
25-202(a1),Powers of Authorities,Powers of Authorities
25-202(a2),Powers of Authorities,Powers of Authorities
26-102(a),Procedure,Procedure
26-102(b),Procedure,Procedure
26-203,Procedure,Procedure
26-305(d),Procedure,Procedure
26-305(d1),Procedure,Procedure
27-105(c1),Penalties,Penalties
27-107(d),Penalties,Penalties
27-107(f),Penalties,Penalties
54*,Defect,Windshield Wiper
55*,Defect,Headlights
56*,Defect,Taillights
57*,Defect,Horn
60*,Defect,Bumpers
61*,Defect,Glass Tint
62*,Defect,Load Cover
64*,Defect,Stop Lights
65*,Defect,Tag Lights
66*,Defect,Dash Lights
68*,Defect,Rearview Mirrors
69*,Defect,Door Latch
70*,Defect,Fuel System
71*,Defect,Turn Signals
73*,Defect,Hood Catch
76*,Defect,Fenders
7-705(a23),Mass Transit,Mass Transit
7-705(b1),Mass Transit,Mass Transit
7-705(b2),Mass Transit,Mass Transit
7-705(b3),Mass Transit,Mass Transit
7-705(b4),Mass Transit,Mass Transit
7-705(b5),Mass Transit,Mass Transit
7-705(b8),Mass Transit,Mass Transit
7-705(f1),Mass Transit,Mass Transit
78*,Defect,Hazard Warning Lamp
79*,Defect,Park Lamp
80*,Defect,Side Marker Lamp
82*,Defect,Emergency Warning Map
83*,Defect,Back Up Lamp
84*,Defect,Reflectors
8-409(e),Highways,Unauthorized Access
8-409(h),Highways,Unauthorized Access
8-409(i),Highways,Unauthorized Access
86*,Defect,Low Air Warning Device
87*,Defect,Clearance Lamp
88*,Defect,Identification Lamp
9-220,Fuel Taxes,Commercial Driving
9-220(a),Fuel Taxes,Commercial Driving
9-337(a),Fuel Taxes,Commercial Driving
