Charge,ChargeTitle,ChargeSubtitle
12-301(l2),Motor Vehicle Administration,Failure to Surrender ID Card
13-101.1,Vehicle Registration,Improper Registration Plates
13-106(d2),Vehicle Registration,Improper Registration Plates
13-111(b),Vehicle Registration,Improper Registration Plates
13-111(e),Vehicle Registration,Improper Registration Plates
13-112(a),Vehicle Registration,Improper Registration Plates
13-112(c),Vehicle Registration,Improper Registration Plates
13-112(e),Vehicle Registration,Improper Registration Plates
13-113(b),Vehicle Registration,Improper Registration Plates
13-113(c),Vehicle Registration,Improper Registration Plates
13-113(e4),Vehicle Registration,Improper Registration Plates
13-113.2(c),Vehicle Registration,Improper Registration Plates
13-113.2(d),Vehicle Registration,Improper Registration Plates
13-113.2(g),Vehicle Registration,Improper Registration Plates
13-117(a),Vehicle Registration,Improper Registration Plates
13-118(a),Vehicle Registration,Improper Registration Plates
13-118(b),Vehicle Registration,Improper Registration Plates
13-203(b),Vehicle Registration,Improper Registration Plates
13-203(c),Vehicle Registration,Improper Registration Plates
13-205(b),Vehicle Registration,Improper Registration Plates
13-401(b),Vehicle Registration,Improper Registration Plates
13-401(b1),Vehicle Registration,Improper Registration Plates
13-401(c),Vehicle Registration,Improper Registration Plates
13-401(d),Vehicle Registration,Improper Registration Plates
13-401(e),Vehicle Registration,Improper Registration Plates
13-401(f),Vehicle Registration,Improper Registration Plates
13-401(g),Vehicle Registration,Improper Registration Plates
13-401(h),Vehicle Registration,Improper Registration Plates
13-401(i),Vehicle Registration,Improper Registration Plates
13-401(j),Vehicle Registration,Improper Registration Plates
13-401(k),Vehicle Registration,Improper Registration Plates
13-402(a1),Vehicle Registration,Improper Registration Plates
13-402(a2),Vehicle Registration,Improper Registration Plates
13-402.1(e1),Vehicle Registration,Improper Registration Plates
13-402.1(e2),Vehicle Registration,Improper Registration Plates
13-403,Vehicle Registration,Improper Registration Plates
13-409(a),Vehicle Registration,Improper Registration Plates
13-409(b),Vehicle Registration,Improper Registration Plates
13-410(c5),Vehicle Registration,Improper Registration Plates
13-410(e2),Vehicle Registration,Improper Registration Plates
13-411(a),Vehicle Registration,Improper Registration Plates
13-411(b1),Vehicle Registration,Improper Registration Plates
13-411(b2),Vehicle Registration,Improper Registration Plates
13-411(c),Vehicle Registration,Improper Registration Plates
13-411(c1),Vehicle Registration,Improper Registration Plates
13-411(c2),Vehicle Registration,Improper Registration Plates
13-411(d),Vehicle Registration,Improper Registration Plates
13-411(e),Vehicle Registration,Improper Registration Plates
13-411(f),Vehicle Registration,Improper Registration Plates
13-411(g),Vehicle Registration,Improper Registration Plates
13-411(h),Vehicle Registration,Improper Registration Plates
13-411.1(b),Vehicle Registration,Improper Registration Plates
13-411.1(c),Vehicle Registration,Improper Registration Plates
13-414(a),Vehicle Registration,Improper Registration Plates
13-414(b),Vehicle Registration,Improper Registration Plates
13-415(a),Vehicle Registration,Improper Registration Plates
13-415(b),Vehicle Registration,Improper Registration Plates
13-415(c),Vehicle Registration,Improper Registration Plates
13-415(d),Vehicle Registration,Improper Registration Plates
13-415(e),Vehicle Registration,Improper Registration Plates
13-415(f),Vehicle Registration,Improper Registration Plates
13-415(g),Vehicle Registration,Improper Registration Plates
13-415(h),Vehicle Registration,Improper Registration Plates
13-420(b),Vehicle Registration,Improper Registration Plates
13-423(a),Vehicle Registration,Improper Registration Plates
13-501(a),Vehicle Registration,Improper Registration Plates
13-501(b),Vehicle Registration,Improper Registration Plates
13-501(c),Vehicle Registration,Improper Registration Plates
13-501(e),Vehicle Registration,Improper Registration Plates
13-502(a),Vehicle Registration,Improper Registration Plates
13-502(b),Vehicle Registration,Improper Registration Plates
13-503(b),Vehicle Registration,Improper Registration Plates
13-503(e),Vehicle Registration,Improper Registration Plates
13-504(a),Vehicle Registration,Improper Registration Plates
13-504(d),Vehicle Registration,Improper Registration Plates
13-506(c12),Vehicle Registration,Improper Registration Plates
13-604(a),Vehicle Registration,Improper Registration Plates
13-604(b),Vehicle Registration,Improper Registration Plates
13-604(c),Vehicle Registration,Improper Registration Plates
13-605,Vehicle Registration,Improper Registration Plates
13-606(b),Vehicle Registration,Improper Registration Plates
13-606(c),Vehicle Registration,Improper Registration Plates
13-607(a),Vehicle Registration,Improper Registration Plates
13-607(b),Vehicle Registration,Improper Registration Plates
13-607(d),Vehicle Registration,Improper Registration Plates
13-607(e),Vehicle Registration,Improper Registration Plates
13-607(f),Vehicle Registration,Improper Registration Plates
13-616(i),Vehicle Registration,Improper Registration Plates
13-616.1(f1),Vehicle Registration,Improper Registration Plates
13-616.1(f2),Vehicle Registration,Improper Registration Plates
13-616.1(h1),Vehicle Registration,Improper Registration Plates
13-616.1(h2),Vehicle Registration,Improper Registration Plates
13-616.2(c2),Vehicle Registration,Improper Registration Plates
13-616.2(d2),Vehicle Registration,Improper Registration Plates
13-616.2(e2),Vehicle Registration,Improper Registration Plates
13-616.2(f1),Vehicle Registration,Improper Registration Plates
13-620(b),Vehicle Registration,Improper Registration Plates
13-620(c),Vehicle Registration,Improper Registration Plates
13-620(d),Vehicle Registration,Improper Registration Plates
13-625(e),Vehicle Registration,Improper Registration Plates
13-625(f),Vehicle Registration,Improper Registration Plates
13-629,Vehicle Registration,Improper Registration Plates
13-701(a),Vehicle Registration,Improper Registration Plates
13-701(b),Vehicle Registration,Improper Registration Plates
13-702(a),Vehicle Registration,Improper Registration Plates
13-702(b),Vehicle Registration,Improper Registration Plates
13-703(a),Vehicle Registration,Improper Registration Plates
13-703(b),Vehicle Registration,Improper Registration Plates
13-703(c),Vehicle Registration,Improper Registration Plates
13-703(d),Vehicle Registration,Improper Registration Plates
13-703(e),Vehicle Registration,Improper Registration Plates
13-703(f),Vehicle Registration,Improper Registration Plates
13-703(g),Vehicle Registration,Improper Registration Plates
13-703(h),Vehicle Registration,Improper Registration Plates
13-704(b),Vehicle Registration,Improper Registration Plates
13-708(a),Vehicle Registration,Improper Registration Plates
13-708(b),Vehicle Registration,Improper Registration Plates
13-918(b),Vehicle Registration,Improper Registration Plates
13-920(i),Vehicle Registration,Improper Registration Plates
13-920(j),Vehicle Registration,Improper Registration Plates
13-921(d),Vehicle Registration,Improper Registration Plates
13-921(d2),Vehicle Registration,Improper Registration Plates
13-921(e),Vehicle Registration,Improper Registration Plates
13-936.2(e1),Vehicle Registration,Improper Registration Plates
13-936.2E(1i),Vehicle Registration,Improper Registration Plates
13-936.2E(1iI),Vehicle Registration,Improper Registration Plates
13-936E(2i),Vehicle Registration,Improper Registration Plates
13-936E(2iI),Vehicle Registration,Improper Registration Plates
13-936E2I,Vehicle Registration,Improper Registration Plates
13-936E2I(i),Vehicle Registration,Improper Registration Plates
13-936E2I(ii),Vehicle Registration,Improper Registration Plates
13-936E2I(v),Vehicle Registration,Improper Registration Plates
13-936E2V,Vehicle Registration,Improper Registration Plates
13-937.1D(2i),Vehicle Registration,Improper Registration Plates
13-940(c),Vehicle Registration,Improper Registration Plates
13-946(c),Vehicle Registration,Improper Registration Plates
14-102(a),Antitheft,Theft
14-102(b),Antitheft,Theft
14-103(a),Antitheft,Theft
14-103(b),Antitheft,Theft
